DeviceTag: Xsens DOT1,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.838,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17842788,-0.2812,0.0690,9.8627,-0.2499,0.3788,-0.3614
17842954,-0.2891,0.0726,9.8542,-0.1601,0.3253,-0.3271
17843121,-0.2776,0.0819,9.8440,-0.2465,0.3435,-0.3449
17843288,-0.2859,0.0784,9.8586,-0.2063,0.3406,-0.3284
17843455,-0.2898,0.0666,9.8469,-0.1815,0.3114,-0.2985
17843621,-0.2935,0.0664,9.8633,-0.2733,0.3740,-0.3456
17843788,-0.2758,0.0748,9.8655,-0.2470,0.3831,-0.3476
17843955,-0.2915,0.0676,9.8597,-0.1367,0.4386,-0.3729
17844121,-0.2870,0.0692,9.8579,-0.1966,0.3327,-0.4372
17844288,-0.2802,0.0878,9.8547,-0.2273,0.3374,-0.3286
17844455,-0.2983,0.0703,9.8476,-0.2977,0.3348,-0.3218
17844621,-0.2841,0.0745,9.8571,-0.2049,0.3877,-0.4020
17844788,-0.2810,0.0737,9.8607,-0.1569,0.3836,-0.3094
17844955,-0.2940,0.0757,9.8513,-0.2093,0.3837,-0.3248
17845121,-0.2789,0.0817,9.8528,-0.1747,0.3354,-0.3772
17845288,-0.2853,0.0764,9.8516,-0.2145,0.3432,-0.3050
17845455,-0.2797,0.0885,9.8576,-0.2319,0.3557,-0.3054
17845621,-0.2868,0.0668,9.8570,-0.1765,0.3389,-0.3462
17845788,-0.2838,0.0762,9.8501,-0.1906,0.3350,-0.4118
17845955,-0.2862,0.0762,9.8676,-0.1934,0.3905,-0.3200
17846121,-0.2875,0.0736,9.8456,-0.1761,0.2825,-0.3269
17846288,-0.2887,0.0626,9.8684,-0.2382,0.3651,-0.3338
17846455,-0.2869,0.0836,9.8655,-0.2384,0.4171,-0.3752
17846621,-0.2908,0.0682,9.8647,-0.1764,0.3042,-0.3089
17846788,-0.2847,0.0767,9.8676,-0.2246,0.3317,-0.2948
17846955,-0.2857,0.0783,9.8429,-0.1734,0.3433,-0.3542
17847121,-0.2810,0.0700,9.8615,-0.2098,0.3577,-0.2984
17847288,-0.2832,0.0634,9.8508,-0.2079,0.4053,-0.3872
17847455,-0.2908,0.0766,9.8386,-0.1828,0.3088,-0.3351
17847621,-0.2878,0.0958,9.8472,-0.1830,0.3245,-0.3394
17847788,-0.2819,0.0711,9.8534,-0.2144,0.4540,-0.3349
17847955,-0.2872,0.0737,9.8440,-0.2364,0.3829,-0.3372
17848121,-0.2885,0.0732,9.8522,-0.1911,0.4280,-0.3240
17848288,-0.2786,0.0786,9.8645,-0.1871,0.3772,-0.2804
17848455,-0.2815,0.0786,9.8582,-0.2604,0.3202,-0.2885
17848621,-0.2871,0.0635,9.8555,-0.2470,0.3724,-0.3346
17848788,-0.2900,0.0703,9.8568,-0.2130,0.3137,-0.3786
17848955,-0.2871,0.0719,9.8523,-0.2302,0.4201,-0.3475
17849121,-0.2787,0.0678,9.8572,-0.1746,0.3492,-0.3776
17849288,-0.2936,0.0674,9.8523,-0.2257,0.3667,-0.4204
17849455,-0.2882,0.0853,9.8598,-0.1885,0.3524,-0.3338
17849621,-0.2773,0.0693,9.8571,-0.1814,0.3479,-0.3430
17849788,-0.2872,0.0698,9.8562,-0.2519,0.4308,-0.3569
17849955,-0.2940,0.0844,9.8639,-0.1670,0.3397,-0.4063
17850121,-0.2839,0.0679,9.8671,-0.1832,0.3697,-0.3167
17850288,-0.2810,0.0736,9.8677,-0.2468,0.3873,-0.3116
17850455,-0.2962,0.0647,9.8576,-0.1536,0.2968,-0.3424
17850621,-0.2820,0.0644,9.8598,-0.2207,0.3121,-0.3472
17850788,-0.2906,0.0740,9.8656,-0.1064,0.3542,-0.3796
17850955,-0.2843,0.0750,9.8649,-0.2863,0.3736,-0.3380
17851121,-0.3000,0.0733,9.8543,-0.2119,0.3337,-0.3465
17851288,-0.2826,0.0730,9.8525,-0.2037,0.3346,-0.3175
17851455,-0.2924,0.0872,9.8508,-0.1649,0.3595,-0.2511
17851621,-0.2946,0.0717,9.8626,-0.1952,0.4095,-0.3155
17851788,-0.2829,0.0792,9.8630,-0.2274,0.2817,-0.3458
17851955,-0.2789,0.0746,9.8528,-0.2128,0.3918,-0.3692
17852121,-0.2848,0.0794,9.8582,-0.2138,0.3895,-0.3519
17852288,-0.2856,0.0810,9.8608,-0.2553,0.3758,-0.3677
17852455,-0.2869,0.0753,9.8656,-0.2054,0.3221,-0.3229
