DeviceTag: XsensDOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.622,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17840458,-0.0897,-0.0351,9.8155,-0.3702,0.0500,-0.1508
17840625,-0.0754,-0.0389,9.8146,-0.4234,0.0742,-0.1409
17840791,-0.0723,-0.0541,9.8244,-0.3878,0.0042,-0.2107
17840958,-0.0773,-0.0613,9.8098,-0.4187,0.0087,-0.1634
17841125,-0.0834,-0.0530,9.8108,-0.4016,0.0954,-0.1889
17841291,-0.0686,-0.0503,9.8121,-0.3890,0.0755,-0.1587
17841458,-0.0753,-0.0405,9.8030,-0.4759,0.0816,-0.1373
17841625,-0.0935,-0.0550,9.7974,-0.4665,0.0376,-0.1707
17841791,-0.0806,-0.0491,9.7983,-0.3918,0.0815,-0.1525
17841958,-0.0762,-0.0599,9.8173,-0.3332,0.0686,-0.1395
17842125,-0.0865,-0.0470,9.8208,-0.4195,0.0726,-0.1476
17842291,-0.0867,-0.0372,9.8008,-0.4313,0.0397,-0.1102
17842458,-0.0674,-0.0410,9.8046,-0.4097,0.0978,-0.1967
17842625,-0.0817,-0.0597,9.8069,-0.4312,0.0565,-0.0862
17842791,-0.0876,-0.0394,9.8150,-0.4083,0.1355,-0.0860
17842958,-0.0775,-0.0522,9.7943,-0.4864,0.0962,-0.1248
17843125,-0.0886,-0.0491,9.8183,-0.5844,0.0412,-0.1794
17843291,-0.0777,-0.0598,9.8170,-0.4730,0.0627,-0.1372
17843458,-0.0622,-0.0583,9.8099,-0.4393,0.0725,-0.2107
17843625,-0.0878,-0.0463,9.8020,-0.4965,0.0597,-0.1930
17843791,-0.0769,-0.0506,9.8015,-0.5304,0.0969,-0.2328
17843958,-0.0776,-0.0484,9.8041,-0.4590,0.0821,-0.1639
17844125,-0.0749,-0.0498,9.8085,-0.4158,0.0863,-0.1847
17844291,-0.0817,-0.0527,9.8017,-0.3879,0.0746,-0.1254
17844458,-0.0737,-0.0512,9.7996,-0.5036,0.0540,-0.1261
17844625,-0.0768,-0.0479,9.8131,-0.4017,0.0779,-0.1596
17844791,-0.0943,-0.0439,9.8163,-0.4134,0.0467,-0.1338
17844958,-0.0718,-0.0572,9.8140,-0.4391,0.0519,-0.1411
17845125,-0.0666,-0.0396,9.8035,-0.3952,0.0780,-0.0958
17845291,-0.0738,-0.0504,9.8049,-0.4065,0.1028,-0.1061
17845458,-0.0764,-0.0378,9.7920,-0.4573,0.0088,-0.1691
17845625,-0.0818,-0.0438,9.8076,-0.4058,0.1136,-0.1298
17845791,-0.0910,-0.0406,9.8022,-0.4209,0.0590,-0.1601
17845958,-0.0722,-0.0517,9.8153,-0.3806,0.0997,-0.1633
17846125,-0.0834,-0.0512,9.8092,-0.3695,0.0874,-0.1968
17846291,-0.0826,-0.0538,9.8039,-0.4097,0.0527,-0.1773
17846458,-0.0740,-0.0508,9.8113,-0.4569,0.0911,-0.1518
17846625,-0.0799,-0.0445,9.8065,-0.4160,0.0002,-0.2321
17846791,-0.0856,-0.0478,9.8192,-0.4429,0.0068,-0.1884
17846958,-0.0743,-0.0444,9.7997,-0.5106,0.1096,-0.1659
17847125,-0.0825,-0.0508,9.8005,-0.3707,0.0502,-0.1395
17847291,-0.0776,-0.0453,9.8049,-0.4691,0.0597,-0.1298
17847458,-0.0901,-0.0536,9.8322,-0.4841,0.0611,-0.1807
17847625,-0.0855,-0.0436,9.8141,-0.4809,0.0420,-0.1203
17847791,-0.0707,-0.0514,9.8137,-0.3843,0.0763,-0.1116
17847958,-0.0655,-0.0549,9.8091,-0.4438,-0.0238,-0.1024
17848125,-0.0673,-0.0613,9.8122,-0.4459,0.0848,-0.1520
17848291,-0.0865,-0.0392,9.7968,-0.3680,0.0470,-0.0350
17848458,-0.0674,-0.0604,9.8107,-0.3799,0.0664,-0.1785
17848625,-0.0827,-0.0507,9.8125,-0.4155,0.0080,-0.1949
17848792,-0.0732,-0.0437,9.8084,-0.4587,0.0446,-0.0994
17848958,-0.0664,-0.0511,9.7954,-0.4312,0.0498,-0.1841
17849125,-0.0859,-0.0594,9.7994,-0.4491,0.1341,-0.2065
17849292,-0.0700,-0.0628,9.8109,-0.4552,0.0592,-0.1260
17849458,-0.0751,-0.0427,9.8052,-0.4846,0.1029,-0.1276
17849625,-0.0783,-0.0528,9.8069,-0.3770,0.0380,-0.1054
17849792,-0.0879,-0.0428,9.8012,-0.4607,0.1133,-0.1420
17849958,-0.0818,-0.0557,9.8081,-0.4334,0.0802,-0.1313
17850125,-0.0833,-0.0503,9.8024,-0.5015,0.0573,-0.1285
17850292,-0.0826,-0.0451,9.8167,-0.4373,-0.0062,-0.1529
17850458,-0.0844,-0.0582,9.8096,-0.4513,0.0296,-0.1232
17850625,-0.0673,-0.0600,9.8060,-0.4406,0.0691,-0.1955
17850792,-0.0691,-0.0550,9.8004,-0.4265,0.1003,-0.1249
17850958,-0.0708,-0.0546,9.8171,-0.4320,0.0858,-0.1472
17851125,-0.0823,-0.0560,9.8026,-0.4021,0.0771,-0.1757
17851292,-0.0829,-0.0589,9.8125,-0.3549,0.0623,-0.1024
17851458,-0.0795,-0.0450,9.8022,-0.5094,0.0092,-0.1900
17851625,-0.0707,-0.0605,9.8081,-0.4145,0.0674,-0.0882
17851792,-0.0735,-0.0498,9.8011,-0.4117,0.0825,-0.1964
17851958,-0.0774,-0.0421,9.8155,-0.4368,0.0999,-0.1509
17852125,-0.0770,-0.0562,9.8053,-0.5012,0.0567,-0.1587
17852292,-0.0764,-0.0499,9.8056,-0.4352,0.0336,-0.1302
17852458,-0.0721,-0.0589,9.7963,-0.4710,0.0173,-0.2356
17852625,-0.0803,-0.0517,9.8056,-0.4613,0.0626,-0.1107
17852792,-0.0897,-0.0578,9.8135,-0.4895,0.0918,-0.1114
17852958,-0.0811,-0.0432,9.8045,-0.4229,0.0387,-0.1213
17853125,-0.0825,-0.0487,9.8162,-0.4321,0.0425,-0.1732
17853292,-0.0914,-0.0492,9.8118,-0.4625,0.0281,-0.1277
17853458,-0.0898,-0.0415,9.8081,-0.4553,-0.0035,-0.2118
17853625,-0.0798,-0.0542,9.8097,-0.4364,-0.0262,-0.1604
17853792,-0.0818,-0.0557,9.8186,-0.3953,0.0314,-0.1769
17853958,-0.0715,-0.0579,9.8102,-0.4579,0.0543,-0.1618
17854125,-0.0866,-0.0513,9.8056,-0.3921,0.0954,-0.1692
17854292,-0.0825,-0.0462,9.8005,-0.3600,-0.0521,-0.1693
17854458,-0.0755,-0.0445,9.8145,-0.4576,0.1066,-0.1466
17854625,-0.0737,-0.0546,9.7939,-0.3997,0.0949,-0.1103
17854792,-0.0800,-0.0394,9.8106,-0.5621,0.0311,-0.1674
17854958,-0.0755,-0.0527,9.8064,-0.4541,0.0202,-0.0992
17855125,-0.0782,-0.0459,9.8110,-0.3648,0.1012,-0.1488
17855292,-0.0820,-0.0503,9.8021,-0.4696,0.0211,-0.1301
17855458,-0.0790,-0.0502,9.7983,-0.3807,0.0049,-0.1250
17855625,-0.0868,-0.0610,9.8047,-0.3763,0.0512,-0.0896
17855792,-0.0830,-0.0491,9.8024,-0.3545,0.0943,-0.1855
17855958,-0.0856,-0.0435,9.8033,-0.4388,0.0403,-0.1221
17856125,-0.0756,-0.0494,9.8109,-0.4077,0.0101,-0.1762
17856292,-0.0728,-0.0494,9.8004,-0.4257,0.0444,-0.1755
17856458,-0.0771,-0.0460,9.8129,-0.4113,0.0521,-0.2144
17856625,-0.0660,-0.0391,9.8096,-0.4602,0.0700,-0.2157
17856792,-0.0680,-0.0494,9.8059,-0.4671,0.0772,-0.0846
17856958,-0.0766,-0.0457,9.8092,-0.4062,0.0989,-0.1079
17857125,-0.0919,-0.0591,9.8149,-0.4727,0.0437,-0.1307
17857292,-0.0883,-0.0487,9.8227,-0.4498,0.0802,-0.1461
17857458,-0.0901,-0.0323,9.8030,-0.4498,0.1025,-0.1626
17857625,-0.0725,-0.0606,9.8163,-0.3992,0.1389,-0.2258
17857792,-0.0793,-0.0580,9.7928,-0.4057,0.0684,-0.0985
17857958,-0.0790,-0.0416,9.8156,-0.4169,0.0430,-0.1478
17858125,-0.0792,-0.0485,9.7954,-0.4256,0.0106,-0.1967
17858292,-0.0817,-0.0477,9.8069,-0.4209,0.0587,-0.2105
17858458,-0.0717,-0.0440,9.8069,-0.4162,0.0756,-0.1419
17858625,-0.0813,-0.0695,9.8121,-0.4118,0.1134,-0.1418
17858792,-0.0774,-0.0457,9.8099,-0.4748,0.0903,-0.0806
17858958,-0.0860,-0.0419,9.8051,-0.5132,0.0592,-0.1212
17859125,-0.0862,-0.0494,9.8137,-0.4265,0.0350,-0.2180
17859292,-0.0850,-0.0382,9.8068,-0.4416,0.1124,-0.2044
