DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:56.029,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17844086,-0.1189,-0.1062,9.8329,-0.3617,-0.1475,-0.5298
17844252,-0.1054,-0.1087,9.8275,-0.4185,-0.1546,-0.5397
17844419,-0.1332,-0.1025,9.8211,-0.3657,-0.1314,-0.5793
17844586,-0.1200,-0.0898,9.8241,-0.4120,-0.1122,-0.5635
17844752,-0.1210,-0.0980,9.8319,-0.4558,-0.1693,-0.4766
17844919,-0.1222,-0.0840,9.8384,-0.4077,-0.1417,-0.4944
17845086,-0.1351,-0.0887,9.8325,-0.3700,-0.1594,-0.5599
17845252,-0.1216,-0.0960,9.8358,-0.3972,-0.1637,-0.5110
17845419,-0.1237,-0.0876,9.8251,-0.4289,-0.1213,-0.5387
17845586,-0.1251,-0.1021,9.8299,-0.4115,-0.1180,-0.5664
17845752,-0.1047,-0.0861,9.8404,-0.3824,-0.1411,-0.5157
17845919,-0.1128,-0.0856,9.8310,-0.4603,-0.1969,-0.5121
17846086,-0.1371,-0.0930,9.8306,-0.3875,-0.1436,-0.5248
17846252,-0.1266,-0.0975,9.8304,-0.3993,-0.0797,-0.4960
17846419,-0.1338,-0.1026,9.8316,-0.4239,-0.1047,-0.4846
17846586,-0.1182,-0.1006,9.8346,-0.4047,-0.2084,-0.4987
17846752,-0.1107,-0.0938,9.8378,-0.4185,-0.1931,-0.5440
17846919,-0.1184,-0.0969,9.8352,-0.3927,-0.2355,-0.4979
17847086,-0.1371,-0.0959,9.8360,-0.4499,-0.1561,-0.5092
17847252,-0.1192,-0.1011,9.8340,-0.4197,-0.1347,-0.5368
17847419,-0.1188,-0.1050,9.8321,-0.3646,-0.1894,-0.5268
17847586,-0.1144,-0.1063,9.8322,-0.3026,-0.2439,-0.5745
17847752,-0.1243,-0.1006,9.8356,-0.3622,-0.1087,-0.5425
17847919,-0.1310,-0.0949,9.8188,-0.3813,-0.1770,-0.5412
17848086,-0.1096,-0.0996,9.8305,-0.3948,-0.1313,-0.5246
17848252,-0.1149,-0.1081,9.8524,-0.2917,-0.1465,-0.5386
17848419,-0.1102,-0.0928,9.8346,-0.3744,-0.1303,-0.5225
17848586,-0.1217,-0.1013,9.8379,-0.3474,-0.1756,-0.5305
17848752,-0.1219,-0.1017,9.8337,-0.3533,-0.0989,-0.5582
17848919,-0.1291,-0.1033,9.8306,-0.3786,-0.2059,-0.4786
17849086,-0.1281,-0.1112,9.8275,-0.3793,-0.0252,-0.5902
17849252,-0.1226,-0.1010,9.8484,-0.4164,-0.1342,-0.5872
17849419,-0.1238,-0.0962,9.8348,-0.4214,-0.1562,-0.5458
17849586,-0.1111,-0.0919,9.8431,-0.4010,-0.1951,-0.5245
