DeviceTag: Xsens DOT0,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.933,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17843115,-0.2328,-0.0583,9.8552,-0.1081,-0.1701,-0.0765
17843281,-0.2326,-0.0582,9.8382,-0.1725,-0.1120,-0.0251
17843448,-0.2448,-0.0594,9.8518,-0.2283,-0.1243,0.0026
17843615,-0.2328,-0.0514,9.8601,-0.1981,-0.1503,-0.0889
17843781,-0.2409,-0.0616,9.8621,-0.1520,-0.1381,-0.0502
17843948,-0.2364,-0.0540,9.8499,-0.1532,-0.1298,-0.0692
17844115,-0.2394,-0.0661,9.8464,-0.1590,-0.1489,0.0278
17844281,-0.2382,-0.0499,9.8563,-0.1591,-0.1178,0.0184
17844448,-0.2408,-0.0502,9.8387,-0.1288,-0.1418,-0.0694
17844615,-0.2266,-0.0579,9.8461,-0.1604,-0.1493,-0.0198
17844781,-0.2233,-0.0580,9.8638,-0.2564,-0.1682,-0.0454
17844948,-0.2394,-0.0668,9.8615,-0.1762,-0.1227,-0.0905
17845115,-0.2317,-0.0688,9.8506,-0.2038,-0.1722,-0.0446
17845281,-0.2186,-0.0641,9.8559,-0.1308,-0.1429,-0.1326
17845448,-0.2321,-0.0711,9.8494,-0.1931,-0.1628,-0.0350
17845615,-0.2281,-0.0455,9.8480,-0.1409,-0.1169,-0.0618
17845781,-0.2425,-0.0634,9.8492,-0.1049,-0.1183,-0.1033
17845948,-0.2256,-0.0591,9.8621,-0.1474,-0.2170,-0.1405
17846115,-0.2245,-0.0467,9.8551,-0.1292,-0.1572,-0.0398
17846281,-0.2392,-0.0557,9.8588,-0.1956,-0.1244,-0.1099
17846448,-0.2237,-0.0622,9.8459,-0.1526,-0.1729,-0.0621
17846615,-0.2366,-0.0626,9.8472,-0.2038,-0.1404,-0.0330
17846781,-0.2290,-0.0567,9.8656,-0.1941,-0.0813,-0.0817
17846948,-0.2412,-0.0548,9.8487,-0.1677,-0.1868,-0.1065
17847115,-0.2436,-0.0623,9.8569,-0.2035,-0.1626,0.0037
17847281,-0.2396,-0.0536,9.8481,-0.1813,-0.1534,-0.0614
17847448,-0.2277,-0.0643,9.8512,-0.1244,-0.1739,-0.0576
17847615,-0.2357,-0.0544,9.8550,-0.1864,-0.2309,-0.0377
17847781,-0.2364,-0.0575,9.8478,-0.1325,-0.1543,-0.0372
17847948,-0.2246,-0.0574,9.8480,-0.1904,-0.1380,-0.1039
17848115,-0.2368,-0.0681,9.8447,-0.1832,-0.1486,-0.0970
17848281,-0.2368,-0.0581,9.8567,-0.1214,-0.1546,-0.0101
17848448,-0.2290,-0.0734,9.8578,-0.2041,-0.1543,-0.0988
17848615,-0.2265,-0.0607,9.8727,-0.0958,-0.0846,0.0036
17848781,-0.2433,-0.0559,9.8418,-0.1637,-0.0663,-0.0987
17848948,-0.2296,-0.0610,9.8515,-0.1836,-0.0824,-0.0365
17849115,-0.2278,-0.0587,9.8566,-0.1626,-0.0987,-0.1091
17849281,-0.2372,-0.0604,9.8538,-0.2435,-0.1820,-0.0508
17849448,-0.2343,-0.0666,9.8392,-0.1848,-0.1454,-0.0769
17849615,-0.2407,-0.0551,9.8435,-0.2137,-0.1667,-0.0437
17849781,-0.2291,-0.0586,9.8514,-0.2402,-0.2278,0.0232
17849948,-0.2317,-0.0599,9.8487,-0.1461,-0.1397,-0.1202
17850115,-0.2271,-0.0518,9.8537,-0.2248,-0.0874,-0.0833
17850281,-0.2398,-0.0638,9.8539,-0.1388,-0.1751,-0.0317
17850448,-0.2231,-0.0654,9.8638,-0.2384,-0.0741,-0.0753
17850615,-0.2307,-0.0641,9.8510,-0.1865,-0.0998,-0.0987
17850781,-0.2334,-0.0583,9.8578,-0.1779,-0.1673,-0.0157
17850948,-0.2504,-0.0595,9.8601,-0.1656,-0.1799,-0.0076
17851115,-0.2268,-0.0483,9.8419,-0.1981,-0.1429,-0.0411
17851281,-0.2316,-0.0594,9.8538,-0.1403,-0.1010,-0.1176
17851448,-0.2363,-0.0749,9.8603,-0.2200,-0.2083,-0.0943
17851615,-0.2206,-0.0502,9.8571,-0.1379,-0.1533,-0.0417
17851781,-0.2417,-0.0559,9.8541,-0.2123,-0.1492,-0.0637
17851948,-0.2338,-0.0516,9.8479,-0.2168,-0.0857,-0.0498
17852115,-0.2299,-0.0599,9.8508,-0.1766,-0.1833,-0.0498
17852281,-0.2403,-0.0439,9.8565,-0.1718,-0.2193,-0.0904
17852448,-0.2391,-0.0506,9.8407,-0.2103,-0.1875,-0.0836
17852615,-0.2192,-0.0538,9.8578,-0.2555,-0.1289,-0.0297
17852781,-0.2454,-0.0715,9.8566,-0.1788,-0.1514,-0.0726
17852948,-0.2355,-0.0654,9.8712,-0.1923,-0.1293,-0.0770
17853115,-0.2293,-0.0581,9.8464,-0.1875,-0.0813,-0.0459
17853281,-0.2287,-0.0630,9.8508,-0.1518,-0.1492,-0.0674
17853448,-0.2399,-0.0585,9.8493,-0.1873,-0.1264,-0.0765
17853615,-0.2336,-0.0603,9.8610,-0.1881,-0.1948,-0.1580
