DeviceTag: Xsens DOT,FirmwareVersion: 2.2.1,AppVersion: 2022.2.0,SyncStatus: Unknown (Synced/Un-synced),OutputRate: 60,FilterProfile: Unknown,Measurement Mode: Inertial Mode - Rate quantities,StartTime: 2022-12-03 22:44:55.744,© Movella Technologies B.V. 2005-2022
SampleTimeFine,Acc_X,Acc_Y,Acc_Z,Gyr_X,Gyr_Y,Gyr_Z
17841968,-0.0784,-0.0585,9.8427,0.1961,-0.2097,0.0919
17842134,-0.0845,-0.0696,9.8192,0.2232,-0.1830,0.1641
17842301,-0.0649,-0.0665,9.8243,0.2297,-0.1288,0.0434
17842468,-0.0728,-0.0568,9.8400,0.2162,-0.1300,0.1047
17842634,-0.0852,-0.0734,9.8292,0.2541,-0.1530,0.1078
17842801,-0.0765,-0.0581,9.8300,0.2364,-0.1308,0.0712
17842968,-0.0829,-0.0600,9.8359,0.1778,-0.1400,0.0622
17843134,-0.0788,-0.0546,9.8297,0.2607,-0.1765,0.0497
17843301,-0.0879,-0.0627,9.8255,0.2679,-0.0714,0.0694
17843468,-0.0853,-0.0666,9.8324,0.2392,-0.0916,0.0701
17843634,-0.0823,-0.0679,9.8369,0.2467,-0.1123,0.0475
17843801,-0.0898,-0.0607,9.8275,0.2447,-0.0791,0.0920
17843968,-0.0817,-0.0574,9.8308,0.1455,-0.1454,0.1176
17844134,-0.0879,-0.0538,9.8365,0.2606,-0.1297,0.0184
17844301,-0.0795,-0.0628,9.8243,0.2907,-0.1100,0.0903
17844468,-0.0795,-0.0668,9.8312,0.2754,-0.1243,0.0905
17844634,-0.0719,-0.0419,9.8294,0.2790,-0.0811,0.1160
17844801,-0.0780,-0.0607,9.8332,0.2177,-0.1455,0.0773
17844968,-0.0888,-0.0370,9.8355,0.3614,-0.0415,0.1302
17845134,-0.0673,-0.0535,9.8292,0.2942,-0.1090,0.0358
17845301,-0.0729,-0.0581,9.8312,0.2051,-0.0857,0.0167
17845468,-0.0827,-0.0575,9.8305,0.2309,-0.1685,0.1042
17845634,-0.0809,-0.0607,9.8264,0.2839,-0.1514,0.1158
17845801,-0.0713,-0.0562,9.8318,0.2342,-0.1617,0.0660
17845968,-0.0751,-0.0495,9.8205,0.2826,-0.1850,0.0841
17846134,-0.0776,-0.0709,9.8279,0.1961,-0.0511,0.0453
17846301,-0.0763,-0.0477,9.8446,0.2432,-0.1117,0.1008
17846468,-0.0880,-0.0674,9.8273,0.1894,-0.1218,0.0601
17846634,-0.0767,-0.0586,9.8374,0.1578,-0.0999,0.1205
17846801,-0.0824,-0.0537,9.8445,0.2622,-0.1250,0.0712
17846968,-0.0782,-0.0569,9.8376,0.2644,-0.1411,0.1137
